Reference, Value, Footprint, Datasheet
C1,100p,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,~
C2,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C3,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C4,100p,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,~
C5,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C6,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C7,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C8,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C9,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C10,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C11,620p,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,~
C12,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C13,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C14,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C15,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C16,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C17,10u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~
C18,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C19,10u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~
D1,LED_ALT,LED_THT:LED_D3.0mm,~
J1,PIA Con,Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Horizontal,~
J2,SBC68 BUS,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal,~
J3,SERIAL COn,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,~
J4,Barrel_Jack_Switch,Connector_BarrelJack:BarrelJack_Horizontal,~
R1,3.3k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R2,5k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R3,5k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R4,2.2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R5,2.2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R6,680,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R7,10,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R8,680,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R9,10,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R10,82k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R11,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R12,2.2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R13,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R14,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
RN1,10k,Resistor_THT:R_Array_SIP5,http://www.vishay.com/docs/31509/csc.pdf
RV1,50k,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~
RV2,50k,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~
